Element ID	Element Name	Description
1	Worker Characteristics	Worker Characteristics
1.A	Abilities	Enduring attributes of the individual that influence performance
1.A.1	Cognitive Abilities	Abilities that influence the acquisition and application of knowledge in problem solving
1.A.1.a	Verbal Abilities	Abilities that influence the acquisition and application of verbal information in problem solving
1.A.1.a.1	Oral Comprehension	The ability to listen to and understand information and ideas presented through spoken words and sentences.
1.A.1.a.2	Written Comprehension	The ability to read and understand information and ideas presented in writing.
1.A.1.a.3	Oral Expression	The ability to communicate information and ideas in speaking so others will understand.
1.A.1.a.4	Written Expression	The ability to communicate information and ideas in writing so others will understand.
1.A.1.b	Idea Generation and Reasoning Abilities	Abilities that influence the application and manipulation of information in problem solving
1.A.1.b.1	Fluency of Ideas	The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity).
1.A.1.b.2	Originality	The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem.
1.A.1.b.3	Problem Sensitivity	The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem.
1.A.1.b.4	Deductive Reasoning	The ability to apply general rules to specific problems to produce answers that make sense.
1.A.1.b.5	Inductive Reasoning	The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).
1.A.1.b.6	Information Ordering	The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations).
1.A.1.b.7	Category Flexibility	The ability to generate or use different sets of rules for combining or grouping things in different ways.
1.A.1.c	Quantitative Abilities	Abilities that influence the solution of problems involving mathematical relationships
1.A.1.c.1	Mathematical Reasoning	The ability to choose the right mathematical methods or formulas to solve a problem.
1.A.1.c.2	Number Facility	The ability to add, subtract, multiply, or divide quickly and correctly.
1.A.1.d	Memory	Abilities related to the recall of available information
1.A.1.d.1	Memorization	The ability to remember information such as words, numbers, pictures, and procedures.
1.A.1.e	Perceptual Abilities	Abilities related to the acquisition and organization of visual information
1.A.1.e.1	Speed of Closure	The ability to quickly make sense of, combine, and organize information into meaningful patterns.
1.A.1.e.2	Flexibility of Closure	The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material.
1.A.1.e.3	Perceptual Speed	The ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time or one after the other. This ability also includes comparing a presented object with a remembered object.
1.A.1.f	Spatial Abilities	Abilities related to the manipulation and organization of spatial information
1.A.1.f.1	Spatial Orientation	The ability to know your location in relation to the environment or to know where other objects are in relation to you.
1.A.1.f.2	Visualization	The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.
1.A.1.g	Attentiveness	Abilities related to application of attention
1.A.1.g.1	Selective Attention	The ability to concentrate on a task over a period of time without being distracted.
1.A.1.g.2	Time Sharing	The ability to shift back and forth between two or more activities or sources of information (such as speech, sounds, touch, or other sources).
1.A.2	Psychomotor Abilities	Abilities that influence the capacity to manipulate and control objects
1.A.2.a	Fine Manipulative Abilities	Abilities related to the manipulation of objects
1.A.2.a.1	Arm-Hand Steadiness	The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position.
1.A.2.a.2	Manual Dexterity	The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects.
