Element ID,Element Name,Scale ID,Scale Name
2.A.1.a,Reading Comprehension,IM,Importance
2.A.1.a,Reading Comprehension,LV,Level
2.A.1.b,Active Listening,IM,Importance
2.A.1.b,Active Listening,LV,Level
2.A.1.c,Writing,IM,Importance
2.A.1.c,Writing,LV,Level
2.A.1.d,Speaking,IM,Importance
2.A.1.d,Speaking,LV,Level
2.A.1.e,Mathematics,IM,Importance
2.A.1.e,Mathematics,LV,Level
2.A.1.f,Science,IM,Importance
2.A.1.f,Science,LV,Level
2.A.2.a,Critical Thinking,IM,Importance
2.A.2.a,Critical Thinking,LV,Level
2.A.2.b,Active Learning,IM,Importance
2.A.2.b,Active Learning,LV,Level
2.A.2.c,Learning Strategies,IM,Importance
2.A.2.c,Learning Strategies,LV,Level
2.A.2.d,Monitoring,IM,Importance
2.A.2.d,Monitoring,LV,Level
2.B.1.a,Social Perceptiveness,IM,Importance
2.B.1.a,Social Perceptiveness,LV,Level
2.B.1.b,Coordination,IM,Importance
2.B.1.b,Coordination,LV,Level
2.B.1.c,Persuasion,IM,Importance
2.B.1.c,Persuasion,LV,Level
2.B.1.d,Negotiation,IM,Importance
2.B.1.d,Negotiation,LV,Level
2.B.1.e,Instructing,IM,Importance
2.B.1.e,Instructing,LV,Level
2.B.1.f,Service Orientation,IM,Importance
2.B.1.f,Service Orientation,LV,Level
2.B.2.i,Complex Problem Solving,IM,Importance
2.B.2.i,Complex Problem Solving,LV,Level
2.B.3.a,Operations Analysis,IM,Importance
2.B.3.a,Operations Analysis,LV,Level
2.B.3.b,Technology Design,IM,Importance
2.B.3.b,Technology Design,LV,Level
2.B.3.c,Equipment Selection,IM,Importance
2.B.3.c,Equipment Selection,LV,Level
2.B.3.d,Installation,IM,Importance
2.B.3.d,Installation,LV,Level
2.B.3.e,Programming,IM,Importance
2.B.3.e,Programming,LV,Level
2.B.3.g,Operations Monitoring,IM,Importance
2.B.3.g,Operations Monitoring,LV,Level
2.B.3.h,Operation and Control,IM,Importance
2.B.3.h,Operation and Control,LV,Level
2.B.3.j,Equipment Maintenance,IM,Importance
2.B.3.j,Equipment Maintenance,LV,Level
2.B.3.k,Troubleshooting,IM,Importance
2.B.3.k,Troubleshooting,LV,Level
2.B.3.l,Repairing,IM,Importance
2.B.3.l,Repairing,LV,Level
2.B.3.m,Quality Control Analysis,IM,Importance
2.B.3.m,Quality Control Analysis,LV,Level
2.B.4.e,Judgment and Decision Making,IM,Importance
2.B.4.e,Judgment and Decision Making,LV,Level
2.B.4.g,Systems Analysis,IM,Importance
2.B.4.g,Systems Analysis,LV,Level
2.B.4.h,Systems Evaluation,IM,Importance
2.B.4.h,Systems Evaluation,LV,Level
2.B.5.a,Time Management,IM,Importance
2.B.5.a,Time Management,LV,Level
2.B.5.b,Management of Financial Resources,IM,Importance
2.B.5.b,Management of Financial Resources,LV,Level
2.B.5.c,Management of Material Resources,IM,Importance
2.B.5.c,Management of Material Resources,LV,Level
2.B.5.d,Management of Personnel Resources,IM,Importance
2.B.5.d,Management of Personnel Resources,LV,Level
2.C.1.a,Administration and Management,IM,Importance
2.C.1.a,Administration and Management,LV,Level
2.C.1.b,Administrative,IM,Importance
2.C.1.b,Administrative,LV,Level
2.C.1.c,Economics and Accounting,IM,Importance
2.C.1.c,Economics and Accounting,LV,Level
2.C.1.d,Sales and Marketing,IM,Importance
2.C.1.d,Sales and Marketing,LV,Level
2.C.1.e,Customer and Personal Service,IM,Importance
2.C.1.e,Customer and Personal Service,LV,Level
2.C.1.f,Personnel and Human Resources,IM,Importance
2.C.1.f,Personnel and Human Resources,LV,Level
2.C.2.a,Production and Processing,IM,Importance
2.C.2.a,Production and Processing,LV,Level
2.C.2.b,Food Production,IM,Importance
2.C.2.b,Food Production,LV,Level
2.C.3.a,Computers and Electronics,IM,Importance
2.C.3.a,Computers and Electronics,LV,Level
2.C.3.b,Engineering and Technology,IM,Importance
2.C.3.b,Engineering and Technology,LV,Level
2.C.3.c,Design,IM,Importance
2.C.3.c,Design,LV,Level
2.C.3.d,Building and Construction,IM,Importance
2.C.3.d,Building and Construction,LV,Level
2.C.3.e,Mechanical,IM,Importance
2.C.3.e,Mechanical,LV,Level
2.C.4.a,Mathematics,IM,Importance
2.C.4.a,Mathematics,LV,Level
2.C.4.b,Physics,IM,Importance
2.C.4.b,Physics,LV,Level
2.C.4.c,Chemistry,IM,Importance
2.C.4.c,Chemistry,LV,Level
2.C.4.d,Biology,IM,Importance
2.C.4.d,Biology,LV,Level
2.C.4.e,Psychology,IM,Importance
2.C.4.e,Psychology,LV,Level
2.C.4.f,Sociology and Anthropology,IM,Importance
2.C.4.f,Sociology and Anthropology,LV,Level
2.C.4.g,Geography,IM,Importance
2.C.4.g,Geography,LV,Level
2.C.5.a,Medicine and Dentistry,IM,Importance
2.C.5.a,Medicine and Dentistry,LV,Level
2.C.5.b,Therapy and Counseling,IM,Importance
2.C.5.b,Therapy and Counseling,LV,Level
2.C.6,Education and Training,IM,Importance
2.C.6,Education and Training,LV,Level
2.C.7.a,English Language,IM,Importance
2.C.7.a,English Language,LV,Level
2.C.7.b,Foreign Language,IM,Importance
2.C.7.b,Foreign Language,LV,Level
2.C.7.c,Fine Arts,IM,Importance
2.C.7.c,Fine Arts,LV,Level
2.C.7.d,History and Archeology,IM,Importance
2.C.7.d,History and Archeology,LV,Level
2.C.7.e,Philosophy and Theology,IM,Importance
2.C.7.e,Philosophy and Theology,LV,Level
2.C.8.a,Public Safety and Security,IM,Importance
2.C.8.a,Public Safety and Security,LV,Level
2.C.8.b,Law and Government,IM,Importance
2.C.8.b,Law and Government,LV,Level
2.C.9.a,Telecommunications,IM,Importance
2.C.9.a,Telecommunications,LV,Level
2.C.9.b,Communications and Media,IM,Importance
2.C.9.b,Communications and Media,LV,Level
2.C.10,Transportation,IM,Importance
2.C.10,Transportation,LV,Level
