O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	Date	Domain Source
11-1011.00	1.B.1.a	Realistic	OI	1.30	11/2023	Machine Learning
11-1011.00	1.B.1.b	Investigative	OI	3.24	11/2023	Machine Learning
11-1011.00	1.B.1.c	Artistic	OI	2.08	11/2023	Machine Learning
11-1011.00	1.B.1.d	Social	OI	3.52	11/2023	Machine Learning
11-1011.00	1.B.1.e	Enterprising	OI	6.88	11/2023	Machine Learning
11-1011.00	1.B.1.f	Conventional	OI	5.00	11/2023	Machine Learning
11-1011.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-1011.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-1011.00	1.B.1.i	Third Interest High-Point	IH	0.00	11/2023	Machine Learning
11-1011.03	1.B.1.a	Realistic	OI	2.04	11/2023	Machine Learning
11-1011.03	1.B.1.b	Investigative	OI	4.78	11/2023	Machine Learning
11-1011.03	1.B.1.c	Artistic	OI	2.48	11/2023	Machine Learning
11-1011.03	1.B.1.d	Social	OI	3.55	11/2023	Machine Learning
11-1011.03	1.B.1.e	Enterprising	OI	6.68	11/2023	Machine Learning
11-1011.03	1.B.1.f	Conventional	OI	4.49	11/2023	Machine Learning
11-1011.03	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-1011.03	1.B.1.h	Second Interest High-Point	IH	2.00	11/2023	Machine Learning
11-1011.03	1.B.1.i	Third Interest High-Point	IH	6.00	11/2023	Machine Learning
11-1021.00	1.B.1.a	Realistic	OI	2.22	11/2023	Machine Learning
11-1021.00	1.B.1.b	Investigative	OI	2.39	11/2023	Machine Learning
11-1021.00	1.B.1.c	Artistic	OI	1.31	11/2023	Machine Learning
11-1021.00	1.B.1.d	Social	OI	3.37	11/2023	Machine Learning
11-1021.00	1.B.1.e	Enterprising	OI	6.96	11/2023	Machine Learning
11-1021.00	1.B.1.f	Conventional	OI	5.32	11/2023	Machine Learning
11-1021.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-1021.00	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-1021.00	1.B.1.i	Third Interest High-Point	IH	0.00	11/2023	Machine Learning
11-1031.00	1.B.1.a	Realistic	OI	1.54	11/2023	Machine Learning
11-1031.00	1.B.1.b	Investigative	OI	3.35	11/2023	Machine Learning
11-1031.00	1.B.1.c	Artistic	OI	2.70	11/2023	Machine Learning
11-1031.00	1.B.1.d	Social	OI	3.69	11/2023	Machine Learning
11-1031.00	1.B.1.e	Enterprising	OI	5.52	11/2023	Machine Learning
11-1031.00	1.B.1.f	Conventional	OI	3.62	11/2023	Machine Learning
11-1031.00	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-1031.00	1.B.1.h	Second Interest High-Point	IH	4.00	11/2023	Machine Learning
11-1031.00	1.B.1.i	Third Interest High-Point	IH	6.00	11/2023	Machine Learning
11-2011.00	1.B.1.a	Realistic	OI	1.07	11/2023	Machine Learning
11-2011.00	1.B.1.b	Investigative	OI	1.71	11/2023	Machine Learning
11-2011.00	1.B.1.c	Artistic	OI	3.85	11/2023	Machine Learning
11-2011.00	1.B.1.d	Social	OI	3.14	11/2023	Machine Learning
11-2011.00	1.B.1.e	Enterprising	OI	7.00	11/2023	Machine Learning
