O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	Date	Domain Source
11-1011.00	1.D.1.a	Innovation	DR	7.00	12/2025	AI/Expert
11-1011.00	1.D.1.a	Innovation	WI	2.30	12/2025	AI/Expert
11-1011.00	1.D.1.b	Achievement Orientation	DR	0.00	12/2025	AI/Expert
11-1011.00	1.D.1.b	Achievement Orientation	WI	2.91	12/2025	AI/Expert
11-1011.00	1.D.1.c	Intellectual Curiosity	DR	0.00	12/2025	AI/Expert
11-1011.00	1.D.1.c	Intellectual Curiosity	WI	2.16	12/2025	AI/Expert
11-1011.00	1.D.1.d	Tolerance for Ambiguity	DR	1.00	12/2025	AI/Expert
11-1011.00	1.D.1.d	Tolerance for Ambiguity	WI	2.05	12/2025	AI/Expert
11-1011.00	1.D.1.e	Initiative	DR	2.00	12/2025	AI/Expert
11-1011.00	1.D.1.e	Initiative	WI	2.50	12/2025	AI/Expert
11-1011.00	1.D.1.f	Adaptability	DR	5.00	12/2025	AI/Expert
11-1011.00	1.D.1.f	Adaptability	WI	2.69	12/2025	AI/Expert
11-1011.00	1.D.1.g	Self-Confidence	DR	3.00	12/2025	AI/Expert
11-1011.00	1.D.1.g	Self-Confidence	WI	2.69	12/2025	AI/Expert
11-1011.00	1.D.1.h	Perseverance	DR	6.00	12/2025	AI/Expert
11-1011.00	1.D.1.h	Perseverance	WI	2.46	12/2025	AI/Expert
11-1011.00	1.D.1.i	Leadership Orientation	DR	4.00	12/2025	AI/Expert
11-1011.00	1.D.1.i	Leadership Orientation	WI	3.00	12/2025	AI/Expert
11-1011.00	1.D.2.a	Humility	DR	0.00	12/2025	AI/Expert
11-1011.00	1.D.2.a	Humility	WI	-0.27	12/2025	AI/Expert
11-1011.00	1.D.2.b	Sincerity	DR	0.00	12/2025	AI/Expert
11-1011.00	1.D.2.b	Sincerity	WI	0.96	12/2025	AI/Expert
11-1011.00	1.D.2.c	Empathy	DR	0.00	12/2025	AI/Expert
11-1011.00	1.D.2.c	Empathy	WI	1.07	12/2025	AI/Expert
11-1011.00	1.D.2.d	Cooperation	DR	0.00	12/2025	AI/Expert
11-1011.00	1.D.2.d	Cooperation	WI	1.53	12/2025	AI/Expert
11-1011.00	1.D.2.e	Optimism	DR	0.00	12/2025	AI/Expert
11-1011.00	1.D.2.e	Optimism	WI	1.60	12/2025	AI/Expert
11-1011.00	1.D.2.f	Social Orientation	DR	10.00	12/2025	AI/Expert
11-1011.00	1.D.2.f	Social Orientation	WI	2.26	12/2025	AI/Expert
11-1011.00	1.D.3.a	Cautiousness	DR	0.00	12/2025	AI/Expert
11-1011.00	1.D.3.a	Cautiousness	WI	1.03	12/2025	AI/Expert
11-1011.00	1.D.3.b	Attention to Detail	DR	0.00	12/2025	AI/Expert
